Child_Term,Parent_Term,Relation
GO:0005868,GO:0030286,is_a
GO:0005868,GO:0044444,is_a
GO:0005854,GO:0044444,is_a
GO:0005854,GO:0043234,is_a
GO:0005853,GO:0044444,is_a
GO:0005853,GO:0043234,is_a
GO:0005852,GO:0044444,is_a
GO:0005852,GO:0043234,is_a
GO:0005851,GO:0044444,is_a
GO:0005851,GO:0043234,is_a
GO:0005850,GO:0044444,is_a
GO:0005850,GO:0043234,is_a
GO:0005840,GO:0043232,is_a
GO:0005840,GO:0044444,is_a
GO:0005840,GO:0030529,is_a
GO:0044445,GO:0005829,part_of
GO:0044445,GO:0044444,is_a
GO:0005829,GO:0044444,is_a
GO:0044450,GO:0044430,is_a
GO:0044450,GO:0044444,is_a
GO:0005811,GO:0044444,is_a
GO:0044431,GO:0005794,part_of
GO:0044431,GO:0044444,is_a
GO:0044431,GO:0044446,is_a
GO:0005794,GO:0043231,is_a
GO:0005794,GO:0044444,is_a
GO:0033116,GO:0031090,is_a
GO:0033116,GO:0005793,part_of
GO:0033116,GO:0044444,is_a
GO:0005793,GO:0043231,is_a
GO:0005793,GO:0044444,is_a
GO:0005786,GO:0044444,is_a
GO:0005786,GO:0030529,is_a
GO:0044432,GO:0005783,part_of
GO:0044432,GO:0044444,is_a
GO:0044432,GO:0044446,is_a
GO:0005783,GO:0043231,is_a
GO:0005783,GO:0044444,is_a
GO:0044439,GO:0005777,part_of
GO:0044439,GO:0044444,is_a
GO:0044439,GO:0044446,is_a
GO:0005777,GO:0043231,is_a
GO:0005777,GO:0044444,is_a
GO:0044437,GO:0005773,part_of
GO:0044437,GO:0044444,is_a
GO:0044437,GO:0044446,is_a
GO:0005773,GO:0043231,is_a
GO:0005773,GO:0044444,is_a
GO:0044440,GO:0005768,part_of
GO:0044440,GO:0044444,is_a
GO:0044440,GO:0044446,is_a
GO:0005768,GO:0043231,is_a
GO:0005768,GO:0044444,is_a
GO:0005967,GO:0005759,part_of
GO:0005967,GO:0044429,is_a
GO:0005967,GO:0044444,is_a
GO:0005967,GO:0043234,is_a
GO:0044429,GO:0005739,part_of
GO:0044429,GO:0044444,is_a
GO:0044429,GO:0044446,is_a
GO:0005739,GO:0043231,is_a
GO:0005739,GO:0044444,is_a
GO:0000164,GO:0044444,is_a
GO:0000164,GO:0008287,is_a
GO:0005732,GO:0030529,is_a
GO:0000172,GO:0005732,is_a
GO:0031429,GO:0005732,is_a
GO:0031429,GO:0044452,is_a
GO:0070545,GO:0030686,part_of
GO:0070545,GO:0044452,is_a
GO:0070545,GO:0043234,is_a
GO:0034457,GO:0030686,part_of
GO:0034457,GO:0044452,is_a
